?,??,?,??,??,??,??,??,???,???,??,??,??,??,???,???,?,??,??,????,???,??,??,??,??,??,??,??,??,??,??,??,??,???,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,S
1.846876174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.239433788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.129830964,0,1,1,0,0,0,0,1.305299881,0,0,0,0,0,2
0,0,1.305299881,0,0,0,0,0,0,0,0,0,0,0,0,0,3.149379711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.080059739,0,1.080059739,0,0,1.129830964,0,0,0,0,1.080059739,1.971520923
1.195813175,0,2.91149885,1,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.945887718,0,1.474768223,0,1.551197293,2,1.305299881,1.587401052,1.453746447,0,2,1.44224957,1.402533538,1,0,1.8672915,2
1.276518007,0,2.47182892,0,0,0,0,0,0,0,0,0,0,0,0,0,3.045228086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.844400439,1.080059739,1.514820006,1,1.25992105,1.129830964,1.195813175,1.16652904,1.479668145,0,1.908553613,1.220284936,1.291549665,0,0,0,2
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.129830964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.129830964
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.195813175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1.551197293
1.317980629,0,2.394950794,0,0,0,0,0,0,0,0,0,0,0,0,0,2.83160575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.416782203,0,0,1.429969148,0,1,0,0,1.34074924,0,0,0,0,1.080059739,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.369987318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.469734492
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,3.391206734,0,0,0,0,0,0,0,0,0,0,0,0,0,1.129830964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.220284936,0,0,0,0,0,1.963606289
0,0,3.038548232,0,0,0,0,0,0,0,0,0,0,0,0,0,1.448089274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.876142545
0,0,1.129830964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.080059739,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.351066752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.646640867
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.129830964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.402533538
1.129830964,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.416782203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.317980629,1,1,1,0,0,0,0,1.080059739,0,0,0,0,0,1.825381367
2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3.305299881,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.723236868,1.581811149,2,1.44224957,1.871758875,2,1.787179215,2,1.429969148,1.129830964,2,1.879020109,1.16652904,1.305299881,1.241365817,1.654704041,2
0,0,1.195813175,0,0,0,0,0,0,0,0,0,0,0,0,0,2.378715705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.378715705,0,1.241365817,1.080059739,1.16652904,1.540989092,1.129830964,0,0,1.789304299,0,0,1.25992105,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.671774886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.241365817
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.220284936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.129830964,0,0,1
0,0,1.129830964,0,0,0,0,0,0,0,0,0,0,0,0,0,1.129830964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.694206824
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.220284936,0,0,0,0,0,1.68068795
1.409801848,0,3.056095906,0,0,0,0,0,0,0,0,0,0,0,0,0,3.394950794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.36079,1.080059739,1.510769492,1.129830964,1.291549665,1.195813175,1.129830964,1.436214347,1,0,1.613215601,1.636096101,0,0,1.590138005,1.409801848,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.291549665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2
1,0,3.644574796,0,0,0,0,0,0,0,0,0,0,0,0,0,3.73572845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1.387023226,0,1.080059739,0,0,1.813350525,0,0,0,0,0,1.811441721
0,0,1.453746447,0,0,0,0,0,0,0,0,0,0,0,0,0,3.260132361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.080059739,0,0,0,0,0,1.530209417,0,0,0,0,0,2
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.409801848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.633920415
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
